TIME       X     Y
181        182.0  182.0
182        183.0  183.0
183        184.0  184.0
184        185.0  185.0
185        186.0  186.0
186        187.0  187.0
187        188.0  188.0
188        189.0  189.0
189        190.0  190.0
190        191.0  191.0
191        192.0  192.0
192        193.0  193.0
193        194.0  194.0
194        195.0  195.0
195        196.0  196.0
196        197.0  197.0
197        198.0  198.0
198        199.0  199.0
199        200.0  200.0
200        201.0  201.0
201        202.0  202.0
202        203.0  203.0
203        204.0  204.0
204        205.0  205.0
205        206.0  206.0
206        207.0  207.0
207        208.0  208.0
208        209.0  209.0
209        210.0  210.0
210        211.0  211.0
211        212.0  212.0
212        213.0  213.0
213        214.0  214.0
214        215.0  215.0
215        216.0  216.0
216        217.0  217.0
217        218.0  218.0
218        219.0  219.0
219        220.0  220.0
220        221.0  221.0
221        222.0  222.0
222        223.0  223.0
223        224.0  224.0
224        225.0  225.0
225        226.0  226.0
226        227.0  227.0
227        228.0  228.0
228        229.0  229.0
229        230.0  230.0
230        231.0  231.0
231        232.0  232.0
232        233.0  233.0
233        234.0  234.0
234        235.0  235.0
235        236.0  236.0
236        237.0  237.0
237        238.0  238.0
238        239.0  239.0
239        240.0  240.0
240        241.0  241.0
241        242.0  242.0
242        243.0  243.0
243        244.0  244.0
244        245.0  245.0
245        246.0  246.0
246        247.0  247.0
247        248.0  248.0
248        249.0  249.0
249        250.0  250.0
250        251.0  251.0
251        252.0  252.0
252        253.0  253.0
253        254.0  254.0
254        255.0  255.0
255        256.0  256.0
256        257.0  257.0
257        258.0  258.0
258        259.0  259.0
259        260.0  260.0
260        261.0  261.0
261        262.0  262.0
262        263.0  263.0
263        264.0  264.0
264        265.0  265.0
265        266.0  266.0
266        267.0  267.0
267        268.0  268.0
268        269.0  269.0
269        270.0  270.0
270        271.0  271.0
271        272.0  272.0
272        273.0  273.0
273        274.0  274.0
274        275.0  275.0
275        276.0  276.0
276        277.0  277.0
277        278.0  278.0
278        279.0  279.0
279        280.0  280.0
280        281.0  281.0
281        282.0  282.0
282        283.0  283.0
283        284.0  284.0
284        285.0  285.0
285        286.0  286.0
286        287.0  287.0
287        288.0  288.0
288        289.0  289.0
289        290.0  290.0
290        291.0  291.0
291        292.0  292.0
292        293.0  293.0
293        294.0  294.0
294        295.0  295.0
295        296.0  296.0
296        297.0  297.0
297        298.0  298.0
298        299.0  299.0
299        300.0  300.0
